Timetable
Person id: 555524.1#11613
Average exposure:0.35782952331227197
activity type 	 start time 	 end time 	 duration 	 exposure value 	 exposure x duration
home	0.0	32714.0	32714.0	0.002602990981488411	85.15424696841187
bike	32714.0	35626.0	2912.0	11.989705163925159	34914.021437350064
shopping	33614.0	38617.0	5003.0	2.893136141738769E-4	1.447436011711906
bike	38617.0	41529.0	2912.0	1.684962488948659	4906.610767818495
home	39517.0	108000.0	68483.0	0.002602990981488411	178.26063138527084

Person id: 562720.3#8327
Average exposure:0.45181012618138017
activity type 	 start time 	 end time 	 duration 	 exposure value 	 exposure x duration
home	0.0	27108.0	27108.0	7.695659110797717E-5	2.086139271755045
pt	27108.0	28067.0	959.0	0.3234212836284141	310.16101099964914
education	28308.0	40547.0	12239.0	0.293949565679916	3597.648734356492
pt	40547.0	40817.0	270.0	158.73276546715462	42857.84667613175
shopping	40787.0	46420.0	5633.0	0.001254812190581306	7.068357069544497
pt	46420.0	47285.0	865.0	2.1708250897056596	1877.7637025953954
home	47380.0	108000.0	60620.0	7.695659110797717E-5	4.665108552965576

Person id: 562777.3#12609
Average exposure:0.3590179084030092
activity type 	 start time 	 end time 	 duration 	 exposure value 	 exposure x duration
home	0.0	53628.0	53628.0	0.01626267403124597	872.1346829476588
walk	53628.0	54549.0	921.0	40.63815261347595	37427.738557011355
leisure	53808.0	53808.0	0.0	8.449748685147928E-5	0.0
home	53988.0	108000.0	54012.0	0.01626267403124597	878.3795497756573

Person id: 562754.2#4231
Average exposure:5.224840025127037E-6
activity type 	 start time 	 end time 	 duration 	 exposure value 	 exposure x duration
home	0.0	35258.0	35258.0	9.203317290219433E-8	0.0032449056101855676
car on link 9934-9936-52799976-9941-9943	36249.0	36689.0	440.0	0.0	0.0
car on link 52799978	36689.0	36725.0	36.0	0.0	0.0
car on link 592149150	36725.0	36744.0	19.0	0.0	0.0
car on link 52799982	36744.0	36752.0	8.0	0.0	0.0
car on link 554321440-593818875	36752.0	36779.0	27.0	0.0	0.0
car on link 554321438-554321437	36779.0	36802.0	23.0	0.0	0.0
car on link 52799986	36802.0	37204.0	402.0	0.0	0.0
car on link 52799989-595754543	37204.0	37422.0	218.0	0.0	0.0
work	37358.0	70153.0	32795.0	2.2179457545084284E-5	0.7273753101910391
car on link 52799990	37422.0	37439.0	17.0	0.0	0.0
car on link 589248843-53193424-586890853-562760105	37439.0	37698.0	259.0	0.0	0.0
car on link 576294972	37698.0	37702.0	4.0	0.0	0.0
car on link 562760109-562783156-562783154-53193426-52823518	37702.0	37752.0	50.0	0.0	0.0
car on link 52904768-52823521	37752.0	37841.0	89.0	0.0	0.0
car on link 52823523-52823525-52823527-52823528	37841.0	37871.0	30.0	0.0	0.0
car on link 52823531-52823532-52823533	37871.0	37906.0	35.0	0.0	0.0
car on link 52825206-52823535-67626862-67626861	37906.0	39895.0	1989.0	0.0	0.0
car on link 594201353-53123670	39895.0	40753.0	858.0	0.0	0.0
car on link 53123671-52823546-52823545-52823543	40753.0	71686.0	30933.0	0.0	0.0
car on link 52823540-594433712	71686.0	72689.0	1003.0	0.0	0.0
car on link 52823536	72689.0	72690.0	1.0	0.0	0.0
car on link 52823534-592883982	72690.0	72823.0	133.0	0.0	0.0
car on link 52823529-52823526-591585002	72823.0	72853.0	30.0	0.0	0.0
home	72853.0	108000.0	35147.0	9.203317290219433E-8	0.003234689927993424
car on link 590690178-592729325-562760122	72855.0	72905.0	50.0	0.0	0.0
car on link 576294971	72905.0	72908.0	3.0	0.0	0.0
car on link 590370878-52824568-2147483465-2147483466	72908.0	72961.0	53.0	0.0	0.0
car on link 52799988	72961.0	72978.0	17.0	0.0	0.0
car on link 586897687-586897688-67625882	72978.0	72990.0	12.0	0.0	0.0
car on link 52799987	72990.0	72992.0	2.0	0.0	0.0
car on link 52799984	72992.0	73004.0	12.0	0.0	0.0
car on link 591915708	73004.0	73019.0	15.0	0.0	0.0
car on link 52799983	73019.0	73032.0	13.0	0.0	0.0
car on link 592300337-52824056	73032.0	73057.0	25.0	0.0	0.0
car on link 9944-9946	73057.0	73071.0	14.0	0.0	0.0
car on link 53193345-9937-9939-2147483646	73071.0	73100.0	29.0	0.0	0.0
car on link 9932-9930-590401008-9922-9920-52912868-9916-9918	73100.0	73335.0	235.0	0.0	0.0
car on link 52798312	73335.0	73504.0	169.0	0.0	0.0

Person id: 557289.1#12107
Average exposure:3.0406246655830422
activity type 	 start time 	 end time 	 duration 	 exposure value 	 exposure x duration
home	0.0	32527.0	32527.0	0.023632915043176297	768.7078276093954
walk	32527.0	33629.0	1102.0	2.8528117255986416	3143.798521609703
leisure	33127.0	45265.0	12138.0	0.08401269785976935	1019.7461266218804
walk	45265.0	46367.0	1102.0	299.8663909949623	330452.76287644845
home	45865.0	54326.0	8461.0	0.023632915043176297	199.95809418031465
pt	54326.0	54351.0	25.0	0.06471895929216519	1.6179739823041297
shopping	54926.0	54926.0	0.0	0.01998741048177503	0.0
home	55526.0	56007.0	481.0	0.023632915043176297	11.367432135767798
car on link 11043-11046-10932R-11003-11004-10809R-10816-10818R	56008.0	56380.0	372.0	0.0	0.0
car on link 576273898-576273899	56380.0	56398.0	18.0	0.0	0.0
car on link 10835-11158R	56398.0	56416.0	18.0	0.0	0.0
car on link 34-33-59403669	56416.0	57027.0	611.0	0.0	0.0
pickup	56607.0	59282.0	2675.0	5.55850089365022E-4	1.486898989051434
car on link 52804800	57027.0	57045.0	18.0	0.0	0.0
car on link 52804799	57045.0	57298.0	253.0	0.0	0.0
car on link 52804797	57298.0	57301.0	3.0	0.0	0.0
car on link 595434008-52804791-52804790-52802072	57301.0	57388.0	87.0	0.0	0.0
car on link 52802124R	57388.0	57389.0	1.0	0.0	0.0
car on link 52802071-52802073-52804792-52804793-52804795	57389.0	59283.0	1894.0	0.0	0.0
car on link 595022625	59283.0	59295.0	12.0	0.0	0.0
car on link 52804803	59295.0	59308.0	13.0	0.0	0.0
car on link 589249057-589249056	59308.0	60339.0	1031.0	0.0	0.0
pickup	59882.0	108000.0	48118.0	0.051615199775657	2483.6201828050635
car on link 35-36	60339.0	60364.0	25.0	0.0	0.0
car on link 52805060-52805061-52805063	60364.0	60557.0	193.0	0.0	0.0
car on link 11928-11932R	60557.0	60558.0	1.0	0.0	0.0

Person id: 561337.2#15212
Average exposure:0.980021113448554
activity type 	 start time 	 end time 	 duration 	 exposure value 	 exposure x duration
home	0.0	25871.0	25871.0	0.013486118633804011	348.8993751751436
work	27491.0	56579.0	29088.0	0.04783710082668539	1391.4855888466245
car on link 52812233-562772372	28267.0	28546.0	279.0	0.0	0.0
car on link 52812156R	28546.0	28717.0	171.0	0.0	0.0
car on link 52812237	28717.0	28722.0	5.0	0.0	0.0
car on link 52812234-52812231	28722.0	28748.0	26.0	0.0	0.0
car on link 595718528-576295163	28748.0	29851.0	1103.0	0.0	0.0
car on link 562772343-595823247-67627622	29851.0	29926.0	75.0	0.0	0.0
car on link 592779618	29926.0	30013.0	87.0	0.0	0.0
car on link 591002378-586890230	30013.0	30071.0	58.0	0.0	0.0
car on link 590515967	30071.0	30119.0	48.0	0.0	0.0
car on link 590659803	30119.0	30135.0	16.0	0.0	0.0
car on link 592716150-562822719	30135.0	30169.0	34.0	0.0	0.0
car on link 52810975	30169.0	30449.0	280.0	407.2034838364948	114016.97547421855
car on link 539-540	30449.0	30490.0	41.0	0.0	0.0
car on link 64439676	30490.0	31034.0	544.0	0.0	0.0
car on link 590695272-589839192-52902293	31034.0	31499.0	465.0	0.0	0.0
car on link 64439686	31499.0	31505.0	6.0	0.0	0.0
car on link 64439685-52902296	31505.0	31528.0	23.0	0.0	0.0
car on link 52902299	31528.0	31539.0	11.0	0.0	0.0
car on link 52810759-59400824-59400823-53193864	31539.0	31556.0	17.0	0.0	0.0
car on link 52810762	31556.0	31562.0	6.0	0.0	0.0
car on link 52810763	31562.0	31565.0	3.0	0.0	0.0
car on link 52902304	31565.0	31580.0	15.0	0.0	0.0
car on link 52810944R	31580.0	31581.0	1.0	0.0	0.0
car on link 64430485	31581.0	31588.0	7.0	0.0	0.0
car on link 562802397R	31588.0	31593.0	5.0	0.0	0.0
car on link 562802398	31593.0	31597.0	4.0	0.0	0.0
