Timetable
Person id: 555524.1#11613
Average exposure:5.018945935568737E-4
activity type 	 start time 	 end time 	 duration 	 exposure value 	 exposure x duration
home	0.0	21600.0	21600.0	1.4846804277153932E-6	0.03206909723865249
home	21600.0	32714.0	11114.0	2.595014161347354E-137	2.8840987389214493E-133
bike	32714.0	35626.0	2912.0	8.668389505562739E-137	2.5242350240198695E-133
shopping	33614.0	38617.0	5003.0	2.7055385606574718E-14	1.353580941896933E-10
bike	38617.0	41529.0	2912.0	1.5757056577269116E-10	4.5884548753007666E-7
home	39517.0	43200.0	3683.0	2.595014161347354E-137	9.557437156242305E-134
home	64800.0	86400.0	21600.0	0.0026014893700183205	56.192170392395724
home	86400.0	108000.0	21600.0	9.733918528834024E-102	2.1025264022281492E-97

Person id: 562720.3#8327
Average exposure:2.568831995450163E-4
activity type 	 start time 	 end time 	 duration 	 exposure value 	 exposure x duration
home	0.0	21600.0	21600.0	2.18748567708384E-5	0.4724969062501094
home	21600.0	27108.0	5508.0	5.365753222061072E-5	0.29554568747112386
pt	27108.0	28067.0	959.0	0.027090830675314065	25.980106617626188
education	28308.0	40547.0	12239.0	5.5918496887567394E-14	6.843864834069373E-10
pt	40547.0	40817.0	270.0	3.019598831928639E-11	8.152916846207325E-9
shopping	40787.0	43200.0	2413.0	3.798703655001285E-4	0.9166271919518101
shopping	43200.0	46420.0	3220.0	1.2710995596427185E-13	4.092940582049554E-10
pt	46420.0	47285.0	865.0	2.1990022381819031E-10	1.9021369360273463E-7
home	47380.0	64800.0	17420.0	3.0907911521099105E-36	5.384158186975465E-32
home	86400.0	108000.0	21600.0	6.224633023342947E-11	1.3445207330420765E-6

Person id: 562777.3#12609
Average exposure:3.9690933976988655E-12
activity type 	 start time 	 end time 	 duration 	 exposure value 	 exposure x duration
home	0.0	21600.0	21600.0	2.0117790593983054E-11	4.34544276830034E-7
home	43200.0	64800.0	21600.0	1.724275746172048E-49	3.724435611731624E-45
walk	53628.0	54549.0	921.0	2.0194694718208723E-52	1.8599313835470235E-49
leisure	53808.0	53808.0	0.0	1.2875026663015753E-61	0.0
home	53988.0	64800.0	10812.0	1.724275746172048E-49	1.8642869367612183E-45
home	86400.0	108000.0	21600.0	1.5131558235450379E-19	3.268416578857282E-15

Person id: 562754.2#4231
Average exposure:4.265064917651655E-6
activity type 	 start time 	 end time 	 duration 	 exposure value 	 exposure x duration
home	0.0	21600.0	21600.0	2.8129609148849675E-14	6.075995576151529E-10
